	E001	E002	E003	E004	E005	E006	E007	E008	E009	E010	E011	E012	E013	E014	E015	E016	E017	E018	E019	E020	E021	E022	E023	E024	E025	E026	E027	E028	E029	E030	E031	E032	E033	E034	E035	E036	E037	E038	E039	E040	E041	E042	E043	E044	E045	E046	E047	E048	E049	E050	E051	E052	E053	E054	E055	E056	E057	E058	E059	E061	E062	E063	E065	E066	E067	E068	E069	E070	E071	E072	E073	E074	E075	E076	E077	E078	E079	E080	E081	E082	E083	E084	E085	E086	E087	E088	E089	E090	E091	E092	E093	E094	E095	E096	E097	E098	E099	E100	E101	E102	E103	E104	E105	E106	E107	E108	E109	E110	E111	E112	E113	E114	E115	E116	E117	E118	E119	E120	E121	E122	E123	E124	E125	E126	E127	E128	E129	Total
01.AllOA	12	4	5	5	9	12	5	3	7	8	8	4	18	6	11	7	21	4	2	5	2	4	12	2	15	14	22	15	12	11	8	18	17	18	11	9	19	14	17	19	18	13	20	11	13	18	20	17	16	13	10	14	8	4	17	18	16	17	5	12	10	18	7	14	4	7	5	2	15	6	8	4	6	10	10	13	9	20	7	3	9	14	16	3	3	10	12	17	12	12	19	6	13	5	10	8	5	9	7	8	12	10	5	15	14	16	6	15	9	8	12	2	4	3	10	21	14	12	10	13	11	8	13	18	14	13	12	74
02.KneeHipOA	19	6	9	8	19	23	9	5	10	16	9	12	27	9	22	13	45	11	11	10	6	15	33	13	38	26	38	33	21	9	15	19	13	20	16	20	16	12	15	17	17	11	20	15	11	17	16	13	35	27	20	27	14	7	41	26	37	36	14	24	9	33	8	29	6	11	6	8	16	7	12	8	13	14	26	18	25	26	9	3	28	19	22	7	6	23	24	26	26	21	20	14	24	17	22	19	10	17	15	18	16	21	19	27	25	24	13	27	16	8	22	19	9	10	26	44	32	23	22	22	16	11	33	37	37	25	31	147
03.HipOA	29	8	13	13	35	26	15	8	21	21	27	20	33	15	30	17	47	12	19	12	11	16	37	23	53	23	57	39	22	13	11	23	19	21	19	20	23	17	18	25	21	17	25	17	13	20	19	20	46	28	24	36	23	15	51	35	42	40	17	29	12	44	12	27	15	25	18	10	28	11	19	26	5	23	22	35	28	32	13	9	23	32	31	10	10	41	31	42	32	33	25	24	29	24	31	21	19	25	21	27	24	34	23	33	38	31	13	31	24	8	31	36	9	15	35	54	37	30	29	30	22	15	33	42	44	34	36	269
04.KneeOA	8	3	6	3	10	14	8	1	10	13	7	11	20	7	6	6	29	5	3	6	4	7	24	5	27	15	32	17	8	8	7	15	10	12	5	3	13	10	10	12	12	6	13	8	6	13	12	8	25	10	5	18	9	3	21	13	25	22	5	15	3	17	6	12	7	13	9	2	6	3	10	4	9	14	9	13	8	19	6	2	13	9	11	6	6	11	13	15	15	12	16	8	14	5	19	7	10	11	3	8	10	13	10	18	9	17	5	6	10	4	8	11	10	4	16	22	19	10	10	6	3	7	22	26	19	21	18	93
05.TJR	25	6	14	10	25	28	16	5	25	24	22	25	37	14	27	18	49	16	16	13	11	16	37	22	47	35	45	34	22	10	12	21	17	19	19	22	23	18	18	24	20	17	23	18	15	18	21	21	42	23	24	39	23	13	41	26	35	37	18	28	11	30	9	29	14	26	15	12	27	10	16	18	12	17	24	22	22	34	14	12	29	25	23	15	7	34	27	29	32	38	25	15	25	18	24	21	18	23	11	19	22	26	18	26	26	30	12	26	16	9	23	23	10	12	28	49	34	30	31	29	28	13	39	48	34	36	36	220
06.THR	25	9	18	15	31	30	17	12	20	21	23	23	27	19	28	22	36	15	23	16	13	20	26	27	45	24	50	37	21	11	11	25	20	21	21	23	23	17	18	26	22	18	24	15	14	20	18	20	37	23	21	32	29	23	49	37	35	37	22	34	12	33	10	22	16	17	20	14	31	15	18	26	6	22	16	27	28	31	17	12	18	31	35	13	9	41	31	34	37	34	29	24	28	23	25	25	23	24	19	23	21	28	22	27	34	30	10	31	20	9	30	21	6	12	25	41	36	29	26	28	21	13	26	37	40	26	27	231
07.TKR	0	0	2	0	2	4	2	0	4	5	3	5	5	0	1	0	7	2	0	0	0	1	5	1	4	6	5	6	4	0	0	1	0	1	4	3	0	1	0	1	0	0	0	1	0	0	0	0	5	4	4	1	1	1	5	4	5	5	4	4	0	5	2	6	0	2	3	1	2	2	1	0	5	8	2	3	1	7	2	0	9	8	7	1	0	6	8	10	8	8	6	1	4	2	0	3	2	0	2	4	6	3	1	1	4	4	1	1	5	1	0	0	0	0	0	5	6	0	3	2	6	1	3	6	2	1	2	22
08.HandOA	4	1	5	1	4	2	0	4	2	2	0	2	8	1	4	1	5	3	3	3	0	0	3	4	9	3	8	9	4	2	1	3	4	5	3	1	5	2	1	4	4	6	5	1	5	6	2	3	2	3	1	4	6	3	8	7	3	6	2	5	1	3	0	0	3	1	4	0	4	4	2	4	0	4	0	0	1	6	2	0	5	2	3	3	1	6	4	8	5	7	6	0	7	4	3	0	2	5	0	5	3	5	3	1	8	7	3	2	3	6	2	5	4	1	2	2	4	4	3	6	5	1	6	7	5	7	4	29
09.FingerOA	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	2	0	2	1	1	0	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	2	3	0	2	1	1	1	0	1	0	1	0	1	1	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	2	0	1	1	0	0	11
10.ThumbOA	1	0	1	0	1	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	4	3	0	0	0	0	1	2	1	0	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	0	0	0	0	0	1	1	0	0	1	0	0	0	1	1	1	0	1	2	1	0	0	0	1	0	1	0	0	0	0	1	1	0	1	0	1	1	1	0	1	1	0	1	1	1	0	0	0	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	9
